date,Stock,Volume,overall_sentiment_score,Log Return,Market Cap Encoded,Rolling Volatility
2023-01-23,RMBS,4244118.0,0.202436,-0.031201599771446,0,0.14560724475422482
2023-01-30,INOD,1162348.0,0.069303,-0.0186258156170755,0,0.14468916701315035
2023-01-30,INOD,1162348.0,0.2444455,-0.0186258156170755,0,0.14375368630635976
2023-01-30,AMPL,2457898.0,0.234882,0.0242599498774832,0,0.1292329978558764
2023-01-30,PUBM,2078237.0,0.130599,0.0779449300360615,0,0.1059305290802278
2023-01-30,PUBM,2078237.0,0.1926054999999999,0.0779449300360615,0,0.047346318576868156
2023-01-30,PUBM,2078237.0,0.190993,0.0779449300360615,0,0.04585325157490181
2023-01-30,SMTC,4383252.0,0.470312,0.0506895838716177,0,0.04671024548605783
2023-01-30,AGYS,686866.0,0.260439,0.0269907084750896,0,0.04616198591583909
2023-01-30,RMBS,7258474.0,0.195157,-0.0377912717155053,0,0.047069510583007526
2023-02-06,INOD,514523.0,0.249573,-0.2532652677603204,0,0.0990916839566258
2023-02-06,AGYS,715229.0,0.250621,-0.0254230265139889,0,0.09926250063622404
2023-02-06,RMBS,8860185.0,0.1799224999999999,0.0243560246508364,0,0.09929372297437818
2023-02-06,RMBS,8860185.0,0.0763946666666666,0.0243560246508364,0,0.09929586647058053
2023-02-06,RMBS,8860185.0,0.308134,0.0243560246508364,0,0.09628460443235683
2023-02-06,RMBS,8860185.0,0.066299,0.0243560246508364,0,0.0928329891514566
2023-02-06,COHU,857016.0,0.202401,0.0190428605135687,0,0.08866586050495187
2023-02-13,INOD,930398.0,0.261016,0.0151205629938252,0,0.08654937398157454
2023-02-13,AMPL,4087869.0,0.173161,0.0787808778531141,0,0.09083709522328626
2023-02-13,AMPL,4087869.0,0.162811,0.0787808778531141,0,0.09437258432684217
2023-02-13,AMPL,4087869.0,0.2560565,0.0787808778531141,0,0.03415426243081378
2023-02-13,PUBM,2311920.0,0.225342,0.1120574089157173,0,0.03512115939000553
2023-02-13,PUBM,2311920.0,0.168711,0.1120574089157173,0,0.03926666870285417
2023-02-13,SMTC,3688123.0,0.17751,0.0432829220129888,0,0.037965329215961324
2023-02-13,SMTC,3688123.0,0.148346,0.0432829220129888,0,0.036508910748907164
2023-02-13,RMBS,3858398.0,0.031724,0.012518656716354,0,0.03797543069615137
2023-02-13,RMBS,3858398.0,0.424476,0.012518656716354,0,0.038792497424951465
2023-02-13,COHU,1081593.0,0.2225659999999999,-0.0190428605135688,0,0.04418776813999833
2023-02-20,INOD,834384.0,0.3126879999999999,-0.0069013386406931,0,0.047324934118299036
2023-02-20,INOD,834384.0,0.286038,-0.0069013386406931,0,0.04861683622872683
2023-02-20,AMPL,2841044.0,0.311954,-0.0191887806508686,0,0.04938784945842845
2023-02-20,AMPL,2841044.0,0.200143,-0.0191887806508686,0,0.041483205504248395
2023-02-20,AMPL,2841044.0,0.223275,-0.0191887806508686,0,0.024895034261728042
2023-02-20,PUBM,2262451.0,-0.357848,0.1084394712461175,0,0.0405008703164267
2023-02-20,PUBM,2262451.0,0.189479,0.1084394712461175,0,0.050660996585535654
2023-02-20,PUBM,2262451.0,0.120581,0.1084394712461175,0,0.058570628241992835
2023-02-20,PUBM,2262451.0,0.258932,0.1084394712461175,0,0.06395340592141505
2023-02-20,INSG,1679876.0,0.159917,0.0694805574268782,0,0.06183561410709508
2023-02-20,SMTC,2340143.0,0.226696,-0.0373033605299688,0,0.06522628408315101
2023-02-20,RMBS,2386974.0,0.333052,-0.0233174118235623,0,0.06673116991075385
2023-02-20,COHU,1080907.0,0.21471,-0.0463434775463418,0,0.06982072488529543
2023-02-27,INOD,926554.0,0.33717,0.1400370833866618,0,0.07392489460872549
2023-02-27,INOD,926554.0,0.294929,0.1400370833866618,0,0.07410431311868461
2023-02-27,AMPL,2792356.0,0.285782,0.1572011367104273,0,0.07855810091588972
2023-02-27,AMPL,2792356.0,0.166708,0.1572011367104273,0,0.08245279521055326
2023-02-27,PUBM,3665343.0,0.26655,0.0504435125758196,0,0.08206469871001358
2023-02-27,PUBM,3665343.0,0.159918,0.0504435125758196,0,0.08121589113239218
2023-02-27,PUBM,3665343.0,0.1480655,0.0504435125758196,0,0.08134273531271183
2023-02-27,PUBM,3665343.0,0.3273845,0.0504435125758196,0,0.07357651407850686
2023-02-27,PUBM,3665343.0,0.371219,0.0504435125758196,0,0.06621473951208993
2023-02-27,INSG,2965895.0,0.128649,0.2245164445204679,0,0.06414077882511805
2023-02-27,SMTC,5317922.0,0.250425,0.0770746839568655,0,0.0636389533042985
2023-02-27,SMTC,5317922.0,0.332679,0.0770746839568655,0,0.06243155049507729
2023-02-27,SMTC,5317922.0,0.350469,0.0770746839568655,0,0.05851310236013738
2023-02-27,RMBS,4322532.0,0.143225,0.078887262978373,0,0.05298064482219233
2023-02-27,RMBS,4322532.0,0.281703,0.078887262978373,0,0.052051384598109374
2023-03-06,PUBM,3978650.0,0.27615,-0.0130419953703962,0,0.05958973871174752
2023-03-06,PUBM,3978650.0,0.269326,-0.0130419953703962,0,0.0655969711226209
2023-03-06,SMTC,6485253.0,0.237616,0.0071856596608743,0,0.06831435297020921
2023-03-06,SMTC,6485253.0,0.379565,0.0071856596608743,0,0.07063395692612105
2023-03-06,COHU,1340394.0,-0.014211,-0.0341609935065721,0,0.04726389134961175
2023-03-13,AMPL,3710265.0,0.187735,0.0389220025850036,0,0.044909734892088056
2023-03-13,PUBM,2494761.0,0.148485,-0.0381354621924983,0,0.04638678746022208
2023-03-13,INSG,4147807.0,0.210935,0.0893088066473183,0,0.04821465958828403
2023-03-13,SMTC,5585675.0,0.303041,-0.0892981376476969,0,0.05440462343256412
2023-03-13,SMTC,5585675.0,0.330797,-0.0892981376476969,0,0.05446547175905379
2023-03-13,SMTC,5585675.0,0.331331,-0.0892981376476969,0,0.05950870592406794
